,snapped_at,price,market_cap,total_volume,snapped_at_datetime,price_coll_vs_usd,price_eth_vs_usd,log_returns,volatility
1641,2023-03-24 00:00:00 UTC,40.27746091052742,775627239.1635356,6685424.96545892,2023-03-24 00:00:00+00:00,40.27746091052742,189.86176346298168,0.04010647084817543,1.0651064503984464
1642,2023-03-25 00:00:00 UTC,38.12710540018612,737601030.9342414,5187364.908721517,2023-03-25 00:00:00+00:00,38.12710540018612,188.8422073694828,-0.05486657286434284,1.0657153656250906
1643,2023-03-26 00:00:00 UTC,38.87303414563357,744958322.8042074,3543721.8351187995,2023-03-26 00:00:00+00:00,38.87303414563357,203.8593183747095,0.019375343605450172,1.055158808229382
1644,2023-03-27 00:00:00 UTC,42.20322072082733,814150360.6534462,11121304.10607968,2023-03-27 00:00:00+00:00,42.20322072082733,212.73341421352785,0.08219573790876693,1.0678088810619346
1645,2023-03-28 00:00:00 UTC,40.26793788922201,774545171.2684746,6113986.036941015,2023-03-28 00:00:00+00:00,40.26793788922201,223.27631974792,-0.046940972097611604,1.065536491025478
1646,2023-03-29 00:00:00 UTC,45.63294196116769,878951467.9018607,13758559.177304506,2023-03-29 00:00:00+00:00,45.63294196116769,223.30077697426225,0.12507430070506906,1.1089481217479955
1647,2023-03-30 00:00:00 UTC,45.74302603305621,881133549.4272797,6693500.613721752,2023-03-30 00:00:00+00:00,45.74302603305621,228.29226083217347,0.002409476530064043,1.0967207247150386
1648,2023-03-31 00:00:00 UTC,43.00876005809077,827982892.004339,34935175.59417956,2023-03-31 00:00:00+00:00,43.00876005809077,224.14699652028605,-0.06163552643980905,1.1007508186130894
1649,2023-04-01 00:00:00 UTC,44.128546927453485,850092150.5059628,6121764.464157291,2023-04-01 00:00:00+00:00,44.128546927453485,236.78534852972567,0.02570307842170144,1.090367374917486
1650,2023-04-02 00:00:00 UTC,44.72273438814656,859476844.2461381,4430794.368065984,2023-04-02 00:00:00+00:00,44.72273438814656,264.03276824299627,0.013375075966259205,1.0786365910616813
1651,2023-04-03 00:00:00 UTC,43.66937886696833,840489617.1232883,4822065.399096332,2023-04-03 00:00:00+00:00,43.66937886696833,267.6704445042514,-0.023834827552642567,1.0696538010874372
1652,2023-04-04 00:00:00 UTC,43.32494591388545,835931828.9272897,5618198.060005979,2023-04-04 00:00:00+00:00,43.32494591388545,284.2318914741183,-0.007918556841782904,1.0583371664497496
1653,2023-04-05 00:00:00 UTC,46.595148815582014,896867237.1743484,9887049.863572797,2023-04-05 00:00:00+00:00,46.595148815582014,263.8999463915962,0.07276784582291508,1.0647183262541788
1654,2023-04-06 00:00:00 UTC,47.16219451856036,908490993.7665097,11380565.209273988,2023-04-06 00:00:00+00:00,47.16219451856036,262.1562443168135,0.012096175016336311,1.0531462885568403
1655,2023-04-07 00:00:00 UTC,45.85832187946213,883593529.8721435,9634022.104062105,2023-04-07 00:00:00+00:00,45.85832187946213,267.9356656159883,-0.028035923547690217,1.0456807960758285
1656,2023-04-08 00:00:00 UTC,44.96460650152029,865755869.2527349,8295911.655113744,2023-04-08 00:00:00+00:00,44.96460650152029,281.9457403055278,-0.019681026400249296,1.0363415333186956
1657,2023-04-09 00:00:00 UTC,45.195644094892685,871165776.7974933,4768981.723376505,2023-04-09 00:00:00+00:00,45.195644094892685,259.1838037480287,0.005125054501294531,1.0248963243992153
